MODZCTA,mean_kde,scaled_kde_0_100
10456.0,1320.1455132110195,99.99999999999999
10029.0,1206.8484065205196,91.41618214123103
10026.0,1195.894476865649,90.58627094807025
10457.0,1168.9913230010675,88.54798612910436
10452.0,996.7422537698836,75.49774433729922
10458.0,980.135104925291,74.23952384959631
10453.0,972.2255298986006,73.64026449203082
10468.0,907.4436445435254,68.73214352867133
11206.0,884.4007750085715,66.9863284694064
11233.0,876.9673565369196,66.42314453565447
11212.0,851.8007892493129,64.51643009220977
11221.0,811.7162212307774,61.479471418953594
10451.0,809.04016819265,61.27672350657804
10025.0,805.9084388349395,61.03945183058561
10459.0,761.0200979613093,57.6385411339501
10128.0,744.5893378170329,56.39368452216677
10027.0,739.5709182200213,56.01347004875308
10460.0,737.9472160164186,55.89045222085142
10003.0,731.4456244984895,55.39786702594017
11226.0,720.8592562906169,54.595803679958365
10002.0,696.603724829245,52.758112760799925
10009.0,696.3986284465232,52.742573882145365
10030.0,683.2122907617295,51.743527002513254
10455.0,678.9197041077814,51.41830438159382
10039.0,665.1353824792958,50.373951973823715
10012.0,620.5684043824525,46.99738893815771
11207.0,619.910820254327,46.94756787434126
10035.0,611.6666471273589,46.32295809757645
11213.0,608.2728968214814,46.06583472227814
10463.0,591.3740514066211,44.785514197757486
10010.0,581.6852228866999,44.05145185751571
11216.0,578.3029030350017,43.79519449671314
10037.0,560.562412793018,42.45110777278248
10033.0,548.8710614091747,41.56532671682023
11238.0,540.2995996736994,40.91592031563367
10472.0,539.1561969827422,40.829291797703256
10019.0,533.2331320584216,40.380537968402734
10031.0,528.3890367883891,40.01353096616681
10024.0,519.9149412515858,39.37150139691722
10023.0,510.44117379611225,38.65373289735379
10032.0,502.05781566067924,38.018577937254356
11205.0,470.17654759839905,35.60313233456318
10011.0,466.46748498974245,35.32211970511931
10467.0,466.0931945455688,35.29376204363162
10069.0,459.016568778913,34.757610076383386
11203.0,457.42546067311883,34.637061700765486
11217.0,441.023415395324,33.39438063600994
10040.0,438.1637140249415,33.17771883050689
10018.0,435.217672605406,32.95451557591043
10036.0,432.72982220508527,32.76602660809808
11201.0,427.3728672780171,32.36016341604674
11237.0,420.1769252600967,31.814971597752304
10454.0,417.3421710501972,31.600199883602293
10001.0,413.2249801604304,31.28826591000061
10016.0,412.717682833367,31.24983114336841
11225.0,411.9040101162037,31.188184216939312
10462.0,390.736418425714,29.5844473088441
11218.0,376.2953904455547,28.49034034092567
11230.0,367.26726697506876,27.806335517317706
11236.0,365.71452802491274,27.688694134234854
10017.0,361.1224946149675,27.340784293076865
11211.0,357.967220960122,27.1017288119713
11220.0,353.71614763571813,26.779651398109028
10014.0,353.35640319423123,26.752395796870562
10013.0,346.01365412220713,26.196081320199248
11210.0,344.1680628989588,26.056252339876004
10034.0,339.08107436235053,25.670842823928034
11368.0,338.0537679998619,25.593010203498935
11373.0,331.5623887218341,25.101198726556337
11219.0,330.65831276295313,25.03270250817782
10028.0,317.35476358161276,24.02477524168765
11208.0,312.2154974896259,23.63540498016921
10469.0,310.6623839695612,23.517735218251584
11204.0,305.8412115350078,23.152464936840293
10038.0,299.4046456967086,22.66480633366991
10466.0,298.7666359725882,22.61646830082911
11235.0,297.83239662209127,22.545686789673073
11223.0,295.5002897537227,22.368997541641832
10021.0,293.0170254027032,22.1808560302919
10075.0,290.49571760962226,21.989832203700953
10022.0,290.2307589126474,21.96975792942013
10065.0,288.08384080888555,21.80709928350494
10473.0,287.0385681032024,21.727905464876923
11385.0,277.78396052435403,21.02674134752459
11214.0,277.77855413931985,21.026331739320433
11372.0,277.38963454396463,20.996865717938658
11215.0,275.0752918999978,20.821522354821173
11229.0,266.31773417092967,20.15801661641489
10470.0,265.44084943018504,20.091580507695472
11377.0,248.3282701729006,18.79506669786316
10007.0,236.44751186337442,17.894935455927573
10461.0,226.44553260358472,17.137147629732194
11104.0,221.47875259053802,16.760845566758668
11375.0,221.37312843183835,16.75284308049712
11432.0,208.0063538521299,15.740125618392138
11355.0,207.45807644345183,15.698586045585332
11232.0,203.98283654813602,15.43528871039028
11374.0,188.57582137897813,14.267994894841932
11209.0,187.0766118863776,14.154409106179427
11419.0,186.38259008472986,14.101827386227539
10044.0,184.58861926091282,13.965909362851551
11691.0,177.54730985059362,13.432433096502342
11228.0,167.7067974113687,12.68687860810745
11101.0,165.83856206422317,12.545334023204509
11379.0,162.75632287588783,12.311811909863117
11435.0,158.68553988303,12.003393974277866
11106.0,158.37187575868452,11.979629592372095
11231.0,156.16653927077712,11.812544948443746
11224.0,153.01673485687823,11.573903837744298
11418.0,149.8397498842658,11.333203424984
11354.0,147.87927807571447,11.184670656465672
11433.0,146.59263469588475,11.087189681494092
11234.0,146.54770773917616,11.08378584511556
11222.0,131.82736274154135,9.968516762180247
10474.0,130.90024279318993,9.898274643891916
11239.0,126.28634972071619,9.548708631918272
11102.0,125.81865513000326,9.513274318567461
11103.0,122.68833067679488,9.276109083460497
11415.0,117.57297767956156,8.888550568559422
11420.0,116.24186737742713,8.787700611157897
11416.0,112.77368351822632,8.52493786798011
10282.0,109.8733576077955,8.305198193477954
11417.0,104.25294946637597,7.8793747882106
11109.0,97.82902158255364,7.392673684331291
10006.0,97.33641269832036,7.355351769753005
10471.0,95.82624633618398,7.240935847160824
11367.0,93.61534328877677,7.073429459604219
10475.0,90.08746757105393,6.806144235171864
10301.0,89.88761517392406,6.791002660724711
10465.0,87.0432806472264,6.575505105493429
10005.0,86.02064037288368,6.498026005572729
10304.0,80.4356226135816,6.074883909677893
11421.0,78.21698331492499,5.906791394429467
11414.0,77.26058797351628,5.834331261497265
11378.0,76.4305288123576,5.771442836015645
11105.0,74.9835841367937,5.661816827818583
11412.0,74.54995559113681,5.628963487049258
10280.0,72.92368798158574,5.5057512942777675
11366.0,71.03746864841999,5.362844174488616
11365.0,70.80536292172984,5.345258965650689
11423.0,70.29958334536836,5.306939189559388
10310.0,70.11021772584064,5.292592133096778
10314.0,69.06106789179837,5.213104568541595
11413.0,64.75988621673167,4.88723075627289
11369.0,61.46311480540155,4.637454869284354
11358.0,60.95643493855872,4.5990668837767865
10305.0,60.2773448578576,4.547616447550211
11370.0,56.945314545139986,4.295169212667175
11357.0,56.77775574354224,4.282474323313312
11428.0,55.04625737547475,4.151289449767964
10004.0,52.91775479708647,3.990026033794632
11422.0,49.74536673190866,3.7496739001500554
10312.0,48.415319376707494,3.6489044756335733
11356.0,48.282341393942296,3.63882956007195
10306.0,43.3169862788967,3.262635452767071
11429.0,43.02793797011102,3.2407360582681513
11364.0,41.971044181519034,3.1606617823899428
11436.0,40.98307205325754,3.0858092725045503
11361.0,39.296867208701556,2.958056007826909
11427.0,37.0708239616823,2.789402541411794
10303.0,36.18337143396227,2.7221657771309316
10308.0,33.1805918739051,2.4946638261413354
11692.0,31.798230477908337,2.3899308917810194
11411.0,30.167035222452846,2.266345361894826
11434.0,29.575699691973206,2.2215435427193198
10302.0,26.5005167106676,1.9885560343443436
11694.0,24.70774822644789,1.8527291047695063
10309.0,23.400342785170654,1.7536751173967797
11426.0,21.053232674486956,1.5758491669104968
11360.0,15.971487524150453,1.190836909763168
10464.0,15.2788134653076,1.1383572999100788
11362.0,14.702772000162891,1.0947142170429396
11004.0,14.216839261804806,1.0578981125587072
11693.0,10.71996405638629,0.7929616043374009
10307.0,8.63091445060993,0.634687294977469
11363.0,4.256817952977011,0.303289179622873
11697.0,0.25372898869943605,0.0
